,DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Wheel Speed [km.h-1],Engine Speed [rpm],Wheel Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],PM Conc. [µg.m-3],PN Conc. [#.cm-3],NO2 [v],NO2 Conc. [ppm],NO [v],NO Conc. [ppm],CO2 [v],CO2 Conc. [%],Temperature [c],GPS Acceleration [m.s-2],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],PM Conc. [mg.m-3],PM Rate [kg.s-1],PM Rate [g.s-1],NO2 Conc. [mg.m-3],NO2 Rate [kg.s-1],NO2 Rate [g.s-1],NO Conc. [mg.m-3],NO Rate [kg.s-1],NO Rate [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
0,2019-09-05 12:03:42,45.51399,-73.57002,45.10061,3.852,0.0,975.75,0.0,1.454926,54.0,4.37,73.21074,101.0,0.998997,33.0,190.6,455597.8,0.003699,0.39,0.000264,0.7,3.08,16.81,32.7,0.22999999999999998,0.06890582555621429,0.29017690777777777,0.2969807408163265,0.1906,6.44227705158945e-10,6.44227705158945e-07,0.7132601469173561,2.4108181932313763e-09,2.4108181932313765e-06,0.8350166856866621,2.8223551059252174e-09,2.8223551059252174e-06,168100.0,294069.64712055353,0.0009939549523681793,0.9939549523681793
1,2019-09-05 12:03:43,45.51398,-73.57001,45.69284,4.608,0.0,975.75,0.0,1.454926,54.0,4.37,73.21074,101.0,0.998997,33.0,175.8,419130.2,0.003015,0.32,0.000166,0.44,3.079414,16.81,32.6,0.37,0.06890582555621429,0.29017690777777777,0.2969807408163265,0.1758,5.942037280532138e-10,5.942037280532138e-07,0.5854305998459812,1.9787545218709397e-09,1.9787545218709397e-06,0.5250393808822996,1.7746322951934797e-09,1.7746322951934798e-06,168100.0,294165.87409932335,0.0009942801994075668,0.9942801994075668
2,2019-09-05 12:03:44,45.51397,-73.56999,45.45517,4.608,0.0,975.75,0.0,1.454926,54.0,4.37,73.21074,101.0,0.998997,33.0,310.9,736147.9,0.003699,0.39,0.000459,1.21,3.079609,16.81,32.6,0.41250000000000003,0.06890582555621429,0.29017690777777777,0.2969807408163265,0.31089999999999995,1.0508415190656664e-09,1.0508415190656663e-06,0.7134935435622897,2.4116070735302084e-09,2.4116070735302084e-06,1.443858297426324,4.880238811782069e-09,4.8802388117820695e-06,168100.0,294165.87409932335,0.0009942801994075668,0.9942801994075668
3,2019-09-05 12:03:45,45.51396,-73.56996,44.43454,7.02,6.0,1012.5,0.89824,1.428291,54.0,4.29,50.80469,101.0,0.998997,33.0,213.2,505655.3,0.003406,0.36,0.000557,1.47,3.079805,16.81,32.6,0.49750000000000005,0.06890582555621429,0.284864705,0.2915440224489796,0.2132,7.074236213164205e-10,7.074236213164205e-07,0.6586094248267289,2.185346455647511e-09,2.185346455647511e-06,1.7541088406749556,5.820347224453214e-09,5.8203472244532145e-06,168100.0,294165.87409932335,0.0009760782735602887,0.9760782735602886
4,2019-09-05 12:03:46,45.51394,-73.56993,43.93246,9.792,10.0,1421.75,1.061616,1.584771,54.0,4.76,54.32466,101.0,0.998997,33.0,239.7,567872.9,0.002722,0.29,0.000361,0.95,3.079512,16.81,32.7,0.49750000000000005,0.045557444657798686,0.31607377166666667,0.3234847428571429,0.2397,8.824905251759611e-10,8.824905251759611e-07,0.5303729297590596,1.952645328836819e-09,1.952645328836819e-06,1.1332369305747558,4.172177113106843e-09,4.172177113106843e-06,168100.0,294069.64712055353,0.0010826603142500076,1.0826603142500075
5,2019-09-05 12:03:47,45.51392,-73.5699,44.15506,11.772,10.0,1421.75,1.061616,1.584771,54.0,4.76,54.32466,101.0,0.998997,33.0,310.6,736129.2,0.003113,0.33,6.8e-05,0.18,3.079707,16.81,32.6,0.3950000000000001,0.02220906375938309,0.31607377166666667,0.3234847428571429,0.31060000000000004,1.1435192203573363e-09,1.1435192203573363e-06,0.6037253060911681,2.222702805316699e-09,2.222702805316699e-06,0.21478883763366807,7.907764460795576e-10,7.907764460795576e-07,168100.0,294165.87409932335,0.0010830145879130474,1.0830145879130475
6,2019-09-05 12:03:48,45.5139,-73.56985,43.30465,11.772,10.0,1421.75,1.061616,1.584771,54.0,4.76,54.32466,101.0,0.998997,33.0,234.2,559961.3,0.003308,0.35,0.0,0.0,3.079609,16.81,32.7,0.4,-0.0011393171390325113,0.31607377166666667,0.3234847428571429,0.2342,8.62241472658365e-10,8.62241472658365e-07,0.6401052600540375,2.356640914113403e-09,2.356640914113403e-06,0.0,0.0,0.0,168100.0,294069.64712055353,0.0010826603142500076,1.0826603142500075
7,2019-09-05 12:03:49,45.51388,-73.56982,42.39947,12.708,10.0,1421.75,1.061616,1.584771,54.0,4.76,54.32466,101.0,0.998997,33.0,62.9,153370.9,0.003503,0.37,6.8e-05,0.18,3.079805,16.81,32.8,0.1925,-0.02448769803744811,0.31607377166666667,0.3234847428571429,0.0629,2.3157552788305359e-10,2.315755278830536e-07,0.6764614207180428,2.490491424408604e-09,2.490491424408604e-06,0.21464836095764867,7.902592606995187e-10,7.902592606995187e-07,168100.0,293973.4830763676,0.001082306272289821,1.082306272289821
8,2019-09-05 12:03:50,45.51385,-73.56977,41.87625,15.552,10.0,1421.75,1.061616,1.584771,54.0,4.76,54.32466,101.0,0.998997,33.0,121.8,295737.2,0.003015,0.32,0.000264,0.7,3.08,16.81,32.7,0.2375,-0.04705673787623948,0.31607377166666667,0.3234847428571429,0.12179999999999999,4.4842447211694647e-10,4.4842447211694646e-07,0.5852390949065485,2.1546431214751105e-09,2.1546431214751106e-06,0.8350166856866621,3.074235767552411e-09,3.0742357675524107e-06,168100.0,294069.64712055353,0.0010826603142500076,1.0826603142500075
9,2019-09-05 12:03:51,45.51382,-73.56972,41.63055,14.544,12.0,958.5,0.4676996,2.40712,54.0,7.23,58.76248,101.0,0.998997,33.0,129.6,316330.4,0.002527,0.27,0.000166,0.44,3.079902,16.81,32.8,0.2525000000000001,-0.04370295184427174,0.4800867111111111,0.49134342244897966,0.1296,7.247335447443732e-10,7.247335447443731e-07,0.4936340097131664,2.760440784458344e-09,2.760440784458344e-06,0.5246959934520301,2.934141876910958e-09,2.9341418769109584e-06,168100.0,293973.4830763676,0.001643923182490632,1.643923182490632
10,2019-09-05 12:03:52,45.51379,-73.56968,41.42974,15.192,16.0,889.0,0.412371,0.7424451,54.0,2.23,26.88424,101.0,0.998997,33.0,252.4,606374.1,0.002527,0.27,0.000264,0.7,3.079609,16.81,32.8,-0.10249999999999995,-0.02918508830468003,0.14807655050000001,0.15154852448979592,0.2524,4.3534070693789165e-10,4.3534070693789163e-07,0.4936340097131664,8.514222613197936e-10,8.514222613197937e-07,0.8347436259464115,1.4397697315032082e-09,1.4397697315032083e-06,168100.0,293973.4830763676,0.000507046846051744,0.507046846051744
11,2019-09-05 12:03:53,45.51376,-73.56963,41.27017,16.344,16.0,889.0,0.412371,0.7424451,54.0,2.23,26.88424,101.0,0.998997,33.0,54.0,134170.9,0.003113,0.33,0.000459,1.21,3.079512,16.81,32.8,-0.5025000000000002,-0.014464798902689573,0.14807655050000001,0.15154852448979592,0.054,9.313945394075335e-11,9.313945394075336e-08,0.6033304563160923,1.0406272082797478e-09,1.0406272082797477e-06,1.4429139819930827,2.4887448215984027e-09,2.4887448215984028e-06,168100.0,293973.4830763676,0.000507046846051744,0.507046846051744
12,2019-09-05 12:03:54,45.51373,-73.5696,41.37106,14.076,14.0,835.75,-0.181257,0.7590919,54.0,2.28,29.6359,101.0,0.998997,33.0,176.4,423766.4,0.003113,0.33,6.8e-05,0.18,3.080195,16.81,32.8,-0.5175000000000001,-0.005135126581737784,0.1513966622777778,0.15494647346938775,0.1764,3.110774228478614e-10,3.110774228478614e-07,0.6033304563160923,1.0639596568958857e-09,1.0639596568958857e-06,0.21464836095764867,3.785275450409459e-10,3.785275450409459e-07,168100.0,293973.4830763676,0.0005184156094161328,0.5184156094161328
13,2019-09-05 12:03:55,45.51371,-73.56956,41.46988,7.308,14.0,835.75,-0.181257,0.7590919,54.0,2.28,29.6359,101.0,0.998997,33.0,161.3,389844.0,0.003992,0.43,0.000166,0.44,3.079805,16.81,32.8,-0.6050000694444446,-0.0067641493206272215,0.1513966622777778,0.15494647346938775,0.1613,2.8444891329569186e-10,2.8444891329569185e-07,0.7861578673209687,1.3863716741370628e-09,1.3863716741370628e-06,0.5246959934520301,9.252895545445345e-10,9.252895545445345e-07,168100.0,293973.4830763676,0.0005184156094161328,0.5184156094161328
14,2019-09-05 12:03:56,45.51372,-73.56952,41.46594,7.74,14.0,835.75,-0.181257,0.7590919,54.0,2.28,29.6359,101.0,0.998997,33.0,114.4,277304.5,0.003308,0.35,0.000459,1.21,3.079512,16.81,32.8,-0.39,-0.01096761703186017,0.1513966622777778,0.15494647346938775,0.1144,2.0174182071312552e-10,2.0174182071312552e-07,0.6398959385170675,1.128442060344121e-09,1.1284420603441209e-06,1.4429139819930827,2.54454627499747e-09,2.54454627499747e-06,168100.0,293973.4830763676,0.0005184156094161328,0.5184156094161328
